Finance,,Consumer Staples,,Communication Services,,Consumer Discretionary,,Energy,,Health Care,,Industrial,,Materials,,Real Estate,,Tech,,Utilities,
GL-N,Globe Life Inc,STZ,Constellation Brands Inc,,,LEN-N,Lennar Corp,,,HCA-N,Hca Holdings Inc,GWW-N,W.W. Grainger,VMC-N,Vulcan Materials Company,VTR,Ventas Inc,FLT-N,Fleetcor Technologies,SRE-N,Sempra
GS-N,Goldman Sachs Group,SYY,Sysco Corp,,,LKQ-Q,LKQ Corp,,,HOLX-Q,Hologic Inc,HII-N,Huntington Ingalls Industries,WRK-N,Westrock Company,WELL,Welltower Inc,FTNT-Q,Fortinet Inc,WEC-N,Wisconsin Energy Corp
HBAN-Q,Huntington Bcshs,TAP,Molson Coors Brewing Company,,,LOW-N,Lowe&#39;s Companies,,,HSIC-Q,Henry Schein Inc,HON-Q,Honeywell International Inc,,,WY,Weyerhaeuser Company,IT-N,Gartner Inc,XEL-Q,XCEL Energy Inc
HIG-N,Hartford Financial Services Group,TSN,Tyson Foods,,,LVS-N,Las Vegas Sands,,,HUM-N,Humana Inc,HWM-N,Howmet Aerospace Inc,,,,,GEN-Q,Gen Digital Inc,,
ICE-N,Intercontinental Exchange,WBA,Walgreens Boots Alliance,,,MAR-Q,Marriot Int Cl A,,,IDXX-Q,Idexx Laboratories,IEX-N,Idex Corp,,,,,GPN-N,Global Payments Inc,,
IVZ-N,Invesco Plc,WMT,Walmart Inc,,,MCD-N,McDonald&#39;s Corp,,,ILMN-Q,Illumina Inc,IR-N,Ingersoll Rand Inc,,,,,HPE-N,Hewlett Packard Enterprise Comp,,
JPM-N,JP Morgan Chase &amp; Company,,,,,MGM-N,MGM Resorts International,,,INCY-Q,Incyte Corp,ITW-N,Illinois Tool Works Inc,,,,,HPQ-N,HP Inc,,
KEY-N,Keycorp,,,,,MHK-N,Mohawk Industries,,,IQV-N,Iqvia Holdings Inc,J-N,Jacobs Engineering Group Inc,,,,,INTC-Q,Intel Corp,,
L-N,Loews Corp,,,,,NCLH-N,Norwegian Cruise Ord,,,ISRG-Q,Intuitive Surg Inc,JBHT-Q,J B Hunt Transport,,,,,IBM-N,International Business Machines,,
LNC-N,Lincoln National Corp,,,,,NKE-N,Nike Inc,,,JNJ-N,Johnson &amp; Johnson,JCI-N,Johnson Controls Intl,,,,,INTU-Q,Intuit Inc,,
MCO-N,Moody&#39;s Corp,,,,,NVR-N,NVR Inc,,,LH-N,Laboratory Corp of America Holdings,LDOS-N,Leidos Holdings Inc,,,,,JKHY-Q,Jack Henry &amp; Assoc,,
MET-N,Metlife Inc,,,,,NWL-Q,Newell Rubbermaid Inc,,,LLY-N,Eli Lilly and Company,LHX-N,L3Harris Technologies Inc,,,,,JNPR-N,Juniper Networks,,
MKTX-Q,Marketaxess Holdings,,,,,ORLY-Q,O&#39;Reilly Automotive,,,MCK-N,Mckesson Corp,LMT-N,Lockheed Martin Corp,,,,,KLAC-Q,K L A-Tencor Corp,,
MMC-N,Marsh &amp; Mclennan Companies,,,,,PHM-N,Pultegroup,,,MDT-N,Medtronic Inc,LUV-N,Southwest Airlines Company,,,,,KEYS-N,Keysight Technologies Inc,,
MS-N,Morgan Stanley,,,,,POOL-Q,Pool Corp,,,MOH-N,Molina Healthcare Inc,MAS-N,Masco Corp,,,,,LRCX-Q,Lam Research Corp,,
MSCI-N,MSCI Inc,,,,,RCL-N,Royal Caribbean Cruises Ltd,,,MRK-N,Merck &amp; Company,MMM-N,3M Company,,,,,MA-N,Mastercard Inc,,
MTB-N,M&amp;T Bank Corp,,,,,RL-N,Ralph Lauren Corp,,,MRNA-Q,Moderna Inc,NDSN-Q,Nordson Corp,,,,,MCHP-Q,Microchip Technology,,
NDAQ-Q,Nasdaq Inc,,,,,ROST-Q,Ross Stores Inc,,,MTD-N,Mettler-Toledo International,NOC-N,Northrop Grumman Corp,,,,,MU-Q,Micron Technology,,
NTRS-Q,Northern Trust Corp,,,,,SBUX-Q,Starbucks Corp,,,OGN-N,Organon &amp; Co.,NSC-N,Norfolk Southern Corp,,,,,MSFT-Q,Microsoft Corp,,
PFG-Q,Principal Financial Group Inc,,,,,TGT-N,Target Corp,,,PFE-N,Pfizer Inc,ODFL-Q,Old Dominion Freight Line Inc,,,,,MPWR-Q,Monolithic Power Sys,,
PGR-N,Progressive Corp,,,,,TJX-N,TJX Companies,,,PKI-N,Perkinelmer,OTIS-N,Otis Worldwide Corp,,,,,MSI-N,Motorola Solutions,,
PNC-N,PNC Bank,,,,,TPR-N,Tapestry Inc,,,REGN-Q,Regeneron Pharmaceuticals,PCAR-Q,Paccar Inc,,,,,NTAP-Q,Netapp Inc,,
PRU-N,Prudential Financial Inc,,,,,TSCO-Q,Tractor Supply Company,,,RMD-N,Resmed Inc,PH-N,Parker-Hannifin Corp,,,,,NVDA-Q,Nvidia Corp,,
RE-N,Everest Re Group,,,,,TSLA-Q,Tesla Inc,,,STE-N,Steris Corp,PNR-N,Pentair Ltd,,,,,NXPI-Q,Nxp Semiconductors,,
RF-N,Regions Financial Corp,,,,,ULTA-Q,Ulta Beauty Inc,,,SYK-N,Stryker Corp,PWR-N,Quanta Services,,,,,ON-Q,On Semiconductor,,
RJF-N,Raymond James Financial,,,,,VFC-N,V.F. Corp,,,TECH-Q,Bio-Techne Cp,RHI-N,Robert Half International Inc,,,,,ORCL-N,Oracle Corp,,
SCHW-N,The Charles Schwab Corp,,,,,WHR-N,Whirlpool Corp,,,TFX-N,Teleflex Inc,ROK-N,Rockwell Automation Inc,,,,,PAYX-Q,Paychex Inc,,
SPGI-N,S&amp;P Global Inc,,,,,WYNN-Q,Wynn Resorts Ltd,,,TMO-N,Thermo Fisher Scientific Inc,ROL-N,Rollins Inc,,,,,PAYC-N,Paycom Software Inc,,
STT-N,State Street Corp,,,,,YUM-N,Yum! Brands,,,UHS-N,Universal Health Services,RSG-N,Republic Services,,,,,PYPL-Q,Paypal Holdings,,
SYF-N,Synchrony Financial,,,,,,,,,UNH-N,Unitedhealth Group Inc,RTX-N,Raytheon Technologies Corp,,,,,PTC-Q,Ptc Inc,,
TFC-N,Truist Financial Corp,,,,,,,,,VRTX-Q,Vertex Pharmaceutic,SNA-N,Snap-On Inc,,,,,QRVO-Q,Qorvo Inc,,
TROW-Q,T Rowe Price Group,,,,,,,,,VTRS-Q,Viatris Inc,SWK-N,Stanley Black &amp; Decker Inc,,,,,QCOM-Q,Qualcomm Inc,,
TRV-N,The Travelers Companies Inc,,,,,,,,,WAT-N,Waters Corp,TDG-N,Transdigm Group Inc,,,,,ROP-N,Roper Industries,,
USB-N,U.S. Bancorp,,,,,,,,,WST-N,West Pharmaceutical Services,TT-N,Trane Technologies Plc,,,,,CRM-N,Salesforce Inc,,
WFC-N,Wells Fargo &amp; Company,,,,,,,,,XRAY-Q,Dentsply Sirona Inc,TXT-N,Textron Inc,,,,,STX-Q,Seagate Technology Hldgs Plc,,
WRB-N,W.R. Berkley Corp,,,,,,,,,ZBH-N,Zimmer Biomet Holdings,UAL-Q,United Airlines Holdings Inc,,,,,NOW-N,Servicenow Inc,,
WTW-Q,Willis Towers Watson Public Ltd,,,,,,,,,ZTS-N,Zoetis Inc Cl A,UNP-N,Union Pacific Corp,,,,,SWKS-Q,Skyworks Solutions,,
ZION-Q,Zions Bancorp,,,,,,,,,,,UPS-N,United Parcel Service,,,,,SEDG-Q,Solaredge Tech,,
,,,,,,,,,,,,URI-N,United Rentals,,,,,SNPS-Q,Synopsys Inc,,
,,,,,,,,,,,,VRSK-Q,Verisk Analytics Inc,,,,,TEL-N,Te Connectivity Ltd,,
,,,,,,,,,,,,WAB-N,Wabtec Corp,,,,,TDY-N,Teledyne Technologies Inc,,
,,,,,,,,,,,,WM-N,Waste Management,,,,,TER-Q,Teradyne Inc,,
,,,,,,,,,,,,XYL-N,Xylem Inc,,,,,TXN-Q,Texas Instruments,,
,,,,,,,,,,,,,,,,,,TRMB-Q,Trimble Navigation,,
,,,,,,,,,,,,,,,,,,TYL-N,Tyler Technologies,,
,,,,,,,,,,,,,,,,,,VRSN-Q,Verisign Inc,,
,,,,,,,,,,,,,,,,,,V-N,Visa Inc,,
,,,,,,,,,,,,,,,,,,WDC-Q,Western Digital Cp,,
,,,,,,,,,,,,,,,,,,ZBRA-Q,Zebra Technologies,,
